pID;Name;Surname;Salary;Domain;State;Role;Gender;Ethnicity;FamSituation;Performance;Rating
3427;Uriah;Bridges;Zone C;Production       ;MA;CLERK;Female;White;Widowed;Fully Meets;4
3428;Paula;Small;Zone A;Production       ;MA;CLERK;Male;Hispanic;Widowed;Fully Meets;3
3429;Edward;Buck;Zone B;Sales;MA;CLERK;Male;Hispanic;Widowed;Fully Meets;4
3430;Michael;Riordan;Zone A;Sales;ND;CLERK;Male;Other;Single;Fully Meets;2
3431;Jasmine;Onque;Zone A;Sales;FL;CLERK;Female;Other;Married;Fully Meets;3
3432;Maruk;Fraval;Zone B;Sales;CT;CLERK;Male;Black;Married;Fully Meets;3
3433;Latia;Costa;Zone B;Sales;CA;CLERK;Female;Hispanic;Divorced;Exceeds;4
3434;Sharlene;Terry;Zone C;Sales;OR;CLERK;Female;White;Divorced;Fully Meets;2
3435;Jac;McKinzie;Zone B;Sales;TX;CLERK;Male;Black;Widowed;Exceeds;3
3436;Joseph;Martins;Zone B;Sales;TX;CLERK;Male;Asian;Widowed;Fully Meets;5
3437;Myriam;Givens;Zone B;Sales;IN;CLERK;Female;Other;Single;Fully Meets;5
3438;Dheepa;Nguyen;Zone C;Sales;GA;CLERK;Female;Asian;Married;Fully Meets;3
3439;Bartholemew;Khemmich;Zone A;Sales;CO;CLERK;Male;Other;Single;Fully Meets;3
3440;Xana;Potts;Zone A;Sales;KY;MANAGER;Female;White;Divorced;Fully Meets;3
3441;Prater;Jeremy;Zone A;Sales;NV;CLERK;Male;Asian;Widowed;Exceeds;4
3442;Kaylah;Moon;Zone A;IT/IS;MA;CLERK;Male;Black;Single;Exceeds;2
3443;Kristen;Tate;Zone C;IT/IS;KY;MANAGER;Male;Asian;Widowed;Fully Meets;3
3444;Bobby;Rodgers;Zone A;Sales;KY;MANAGER;Male;Other;Widowed;Fully Meets;3
3445;Reid;Park;Zone C;Sales;KY;MANAGER;Female;Other;Married;Exceeds;4
3446;Hector;Dalton;Zone A;Sales;TX;CLERK;Female;White;Divorced;Exceeds;2
3447;Mariela;Schultz;Zone C;Sales;TX;CLERK;Female;Asian;Widowed;Fully Meets;3
3448;Angela;Molina;Zone A;Sales;TX;CLERK;Male;Asian;Widowed;Fully Meets;3
3449;Gerald;Preston;Zone B;Sales;CO;CLERK;Male;Black;Single;Fully Meets;5
3450;Reilly;Moyer;Zone C;Sales;CO;CLERK;Male;Other;Single;Exceeds;2
3451;Carlee;French;Zone C;Sales;CO;CLERK;Male;Other;Divorced;Exceeds;3
3452;Jaydon;Blackburn;Zone A;Sales;IN;CLERK;Male;Black;Divorced;Fully Meets;2
3453;Bridger;Carter;Zone C;Sales;MA;CLERK;Male;White;Widowed;Fully Meets;4
3454;Leon;Beard;Zone C;IT/IS;KY;CLERK;Male;Hispanic;Married;Needs Improvement;4
3455;Charity;Miranda;Zone C;Sales;KY;MANAGER;Male;Other;Widowed;Exceeds;4
3456;Axel;Howe;Zone A;Sales;KY;CLERK;Female;Black;Divorced;Fully Meets;3
3457;Milton;Wall;Zone B;Sales;KY;CLERK;Female;White;Divorced;Needs Improvement;3
3458;Cory;Robinson;Zone A;Sales;TX;CLERK;Female;Hispanic;Single;Needs Improvement;3
3459;Saniya;Yu;Zone A;Sales;TX;CLERK;Male;Black;Widowed;Exceeds;2
3460;Alisa;James;Zone A;Sales;TX;CLERK;Male;Asian;Married;Fully Meets;3
3461;Lincoln;Compton;Zone C;Sales;CO;CLERK;Male;Hispanic;Married;Needs Improvement;1
3462;Aliana;Nolan;Zone A;Sales;CO;MANAGER;Male;Hispanic;Divorced;Needs Improvement;3
3463;Kayden;Dodson;Zone A;Sales;IN;CLERK;Male;Hispanic;Single;Fully Meets;1
3464;James;Duke;Zone B;Sales;MA;CLERK;Male;Black;Widowed;Needs Improvement;5
3465;Willow;Stuart;Zone B;Sales;MA;CLERK;Male;Asian;Divorced;Needs Improvement;3
3466;Clayton;Walker;Zone C;IT/IS;KY;MANAGER;Male;Other;Married;Exceeds;4
3467;Celia;Curtis;Zone A;Sales;KY;CLERK;Female;Asian;Divorced;Exceeds;1
3468;Valentin;Reilly;Zone B;Sales;KY;CLERK;Female;Black;Single;Fully Meets;4
3469;Ryland;Shepherd;Zone B;Sales;TX;CLERK;Female;Asian;Divorced;Needs Improvement;3
3470;Esteban;Gilbert;Zone C;Sales;TX;CLERK;Female;Black;Married;Needs Improvement;3
3471;Jonathan;Adkins;Zone C;Sales;TX;CLERK;Male;Asian;Married;Fully Meets;4
3472;Nevaeh;Soto;Zone C;Sales;TX;MANAGER;Male;Other;Married;Exceeds;4
3473;Chaim;Mata;Zone A;Sales;CO;MANAGER;Male;Hispanic;Widowed;Exceeds;2
3474;Arely;Patton;Zone A;Sales;CO;CLERK;Male;Other;Divorced;Fully Meets;2
3475;Vance;Trujillo;Zone C;Sales;IN;CLERK;Male;Asian;Widowed;Fully Meets;2
3476;Charlie;Koch;Zone A;Sales;MA;CLERK;Male;Asian;Divorced;Needs Improvement;2
3477;Sonny;Horne;Zone A;IT/IS;KY;CLERK;Female;Asian;Widowed;Needs Improvement;2
3478;Thomas;Chandler;Zone C;Sales;KY;CLERK;Female;Hispanic;Married;Fully Meets;2
3479;Sarai;Stone;Zone A;Sales;TX;CLERK;Female;Hispanic;Widowed;Fully Meets;2
3480;Jerimiah;Harmon;Zone C;Sales;TX;MANAGER;Female;Black;Widowed;Fully Meets;1
3481;Leland;Allen;Zone C;Sales;TX;CLERK;Male;Other;Widowed;Fully Meets;4
3482;Cristal;Bolton;Zone A;Sales;TX;CLERK;Male;Asian;Divorced;Needs Improvement;2
3483;Jaslene;Harding;Zone B;Sales;CO;MANAGER;Male;Asian;Widowed;Fully Meets;1
3484;Albert;Gonzalez;Zone B;Sales;CO;CLERK;Male;Other;Single;Fully Meets;4
3485;Jaiden;Johnson;Zone C;Sales;CO;CLERK;Male;White;Widowed;Fully Meets;5
3486;Brendon;Mcconnell;Zone C;Sales;IN;CLERK;Male;Other;Widowed;Fully Meets;4
3487;Kimora;Parsons;Zone B;Sales;KY;MANAGER;Female;Other;Divorced;Fully Meets;4
3488;Willie;Patterson;Zone B;Sales;KY;CLERK;Female;Asian;Single;Fully Meets;2
3489;Devyn;Powers;Zone A;Sales;TX;CLERK;Female;Black;Divorced;Fully Meets;2
3490;Weston;Preston;Zone A;Sales;TX;MANAGER;Female;Hispanic;Divorced;Fully Meets;2
3491;Lennon;Buchanan;Zone B;Sales;TX;CLERK;Male;White;Widowed;Fully Meets;5
3492;Vicente;Merritt;Zone C;Sales;CO;CLERK;Male;Asian;Married;Fully Meets;1
3493;Hugo;Clay;Zone C;Sales;CO;MANAGER;Male;Asian;Widowed;Fully Meets;5
3494;Cohen;Raymond;Zone B;Sales;CO;CLERK;Male;Black;Single;Fully Meets;4
3495;Tia;Ellis;Zone B;Sales;IN;CLERK;Male;Other;Married;Fully Meets;4
3496;Aspen;Bentley;Zone A;Sales;CA;MANAGER;Male;Other;Widowed;Fully Meets;5
3497;Graham;Rodriguez;Zone C;Sales;OR;CLERK;Female;Hispanic;Widowed;Fully Meets;1
3498;Joel;Mcmillan;Zone A;Sales;KY;CLERK;Female;White;Widowed;Fully Meets;2
3499;Maci;Frost;Zone C;Sales;KY;CLERK;Female;Asian;Widowed;Fully Meets;5
3500;Nevaeh;Lucas;Zone B;Sales;TX;CLERK;Female;White;Divorced;Fully Meets;1
3501;Garrett;Zimmerman;Zone A;Sales;TX;CLERK;Male;Other;Widowed;Fully Meets;4
3502;Eugene;Marks;Zone C;Sales;TX;CLERK;Male;White;Married;Fully Meets;1
3503;Geovanni;Pugh;Zone A;Sales;CO;MANAGER;Male;Other;Single;Fully Meets;4
3504;Javon;Kelley;Zone B;Sales;CO;CLERK;Male;Hispanic;Married;Fully Meets;2
3505;Amaya;Hicks;Zone B;Sales;IN;CLERK;Male;Hispanic;Widowed;Fully Meets;1
3506;Laila;Woodard;Zone B;Sales;IN;CLERK;Male;Other;Married;Fully Meets;2
3507;Ivan;Huff;Zone A;Sales;CA;MANAGER;Male;White;Single;Fully Meets;4
3508;Aidan;Harding;Zone B;Sales;OR;CLERK;Male;Asian;Single;Fully Meets;5
3509;Cruz;Boyer;Zone C;Sales;KY;MANAGER;Female;Black;Married;Fully Meets;2
3510;Raven;Koch;Zone A;Sales;KY;CLERK;Female;Hispanic;Married;Fully Meets;2
3511;Karli;Barker;Zone B;Sales;KY;MANAGER;Female;Asian;Divorced;Fully Meets;4
3512;Tyrone;Sosa;Zone C;Sales;TX;MANAGER;Female;Black;Single;Fully Meets;2
3513;Damaris;Cisneros;Zone C;Sales;TX;CLERK;Male;Other;Married;Fully Meets;5
3514;Alexus;Estes;Zone B;Sales;TX;MANAGER;Male;Asian;Married;Fully Meets;1
3515;Kinsley;Flowers;Zone A;Sales;CO;MANAGER;Male;White;Single;Fully Meets;4
3516;Deborah;Love;Zone B;Sales;CO;MANAGER;Male;Asian;Divorced;Fully Meets;5
3517;Milagros;Francis;Zone A;Sales;IN;CLERK;Male;Hispanic;Widowed;Fully Meets;4
3518;Roberto;Michael;Zone B;Sales;CA;MANAGER;Female;Hispanic;Married;Fully Meets;2
3519;Elaine;Ewing;Zone C;Sales;CA;CLERK;Male;Hispanic;Widowed;Fully Meets;2
3520;Caiden;Munoz;Zone C;Sales;ND;MANAGER;Female;Black;Divorced;Fully Meets;1
3521;Jocelyn;Bradford;Zone C;Sales;KY;CLERK;Female;Asian;Divorced;Fully Meets;4
3522;Marques;Armstrong;Zone C;Sales;KY;CLERK;Female;Other;Single;Fully Meets;1
3523;Rohan;Chapman;Zone A;Sales;KY;CLERK;Female;Other;Single;Fully Meets;2
3524;Emmanuel;Franklin;Zone B;Sales;TX;CLERK;Male;Asian;Divorced;Fully Meets;2
3525;Clayton;Mccormick;Zone B;Sales;TX;CLERK;Male;Hispanic;Single;Fully Meets;2
3526;Darius;Krause;Zone B;Sales;TX;CLERK;Male;White;Widowed;Fully Meets;4
3527;Ahmed;Hawkins;Zone B;Sales;CO;CLERK;Male;Black;Married;Fully Meets;1
3528;Kymani;Benjamin;Zone C;Sales;CO;CLERK;Male;Hispanic;Widowed;Fully Meets;2
3529;Callum;Mcdaniel;Zone C;Sales;IN;CLERK;Male;Hispanic;Single;Fully Meets;2
3530;Zariah;Black;Zone B;Sales;CA;CLERK;Female;Black;Widowed;Fully Meets;2
3531;Ronnie;Mayer;Zone C;Sales;CA;MANAGER;Male;Black;Divorced;Fully Meets;1
3532;Marlon;Ford;Zone B;IT/IS;OR;CLERK;Female;Black;Widowed;Fully Meets;1
3533;Slade;Griffith;Zone B;Sales;ND;MANAGER;Male;White;Married;Fully Meets;2
3534;Lee;Frye;Zone A;Sales;KY;CLERK;Female;Asian;Single;Fully Meets;4
3535;Veronica;Rowe;Zone A;Sales;KY;CLERK;Female;Black;Single;Fully Meets;4
3536;Aylin;Berg;Zone C;Sales;GA;MANAGER;Female;Black;Single;Fully Meets;2
3537;Neveah;Rowe;Zone C;Sales;TX;CLERK;Male;Hispanic;Married;Fully Meets;2
3538;Keith;Baxter;Zone C;Sales;TX;CLERK;Male;Asian;Widowed;Fully Meets;2
3539;Chaz;Bruce;Zone C;Sales;CO;CLERK;Male;Hispanic;Single;Fully Meets;5
3540;Maya;Mccann;Zone B;Sales;CO;MANAGER;Male;White;Widowed;Exceeds;4
3541;Aaron;Weber;Zone B;Sales;IN;CLERK;Male;Black;Married;Exceeds;2
3542;Ellie;Gill;Zone A;Sales;IN;MANAGER;Male;White;Married;Needs Improvement;1
3543;Rayne;Kerr;Zone A;Sales;CA;CLERK;Female;Black;Single;Fully Meets;2
3544;Samara;Mcbride;Zone A;Sales;CA;CLERK;Male;Asian;Single;Fully Meets;2
3545;Ryann;Rubio;Zone C;IT/IS;OR;CLERK;Female;Black;Widowed;Fully Meets;1
3546;Paris;Carr;Zone B;Sales;ND;CLERK;Male;Hispanic;Widowed;Exceeds;1
3547;Adriel;Wiggins;Zone B;Sales;KY;MANAGER;Female;Other;Married;Needs Improvement;2
3548;Sanaa;Glass;Zone A;Sales;KY;CLERK;Female;White;Single;Fully Meets;1
3549;Ryan;Lynch;Zone C;Sales;GA;CLERK;Female;Black;Divorced;Fully Meets;2
3550;Charlie;Atkinson;Zone C;Sales;TX;CLERK;Male;White;Divorced;Fully Meets;1
3551;Emery;Roach;Zone C;Sales;TX;CLERK;Male;Black;Married;Needs Improvement;4
3552;Harper;Ramos;Zone B;Sales;CO;CLERK;Male;White;Single;Needs Improvement;1
3553;Khalil;Mendez;Zone C;Sales;CO;CLERK;Male;Black;Divorced;Fully Meets;4
3554;Lizeth;Holland;Zone C;Sales;IN;MANAGER;Male;Asian;Widowed;Fully Meets;1
3555;Matilda;Randall;Zone C;Sales;IN;CLERK;Female;Hispanic;Widowed;Fully Meets;4
